activity,screen,mood,mood_change
0,69.8596181898,6.8,worse
0,97.6262545477,5.25,better
0,193.012182797,7.0,worse
0,81.628303708,6.0,better
0,35.7987298137,7.75,better
0,32.4538529326,8.0,worse
0.134344901803,62.2708855624,7.66666666667,worse
0.103293731286,62.9421369866,6.6,better
0.0897002479153,74.6829153776,6.8,better
0.098099842489,150.977220948,8.25,worse
0.0418758535518,165.230093747,7.0,worse
0.0625734602554,114.997263159,6.2,worse
0.0241479188161,75.7647157995,4.33333333333,better
0.0807622580241,90.1822085849,6.6,worse
0.156187453218,113.931324773,5.5,better
0.0902634767948,97.2656626529,6.2,better
0.0496303763441,81.4925122087,6.5,worse
0.231306581309,80.2580298452,6.0,better
0.0563157634849,107.839521139,6.75,worse
0.080524162039,196.000162784,5.4,better
0.0768010209548,92.6344380901,6.8,worse
0.070790200138,165.438445775,6.4,worse
0.0989583333333,90.5214677549,6.2,worse
0.0686828898226,63.8630286012,3.5,better
0.15313380173,197.325680005,6.4,better
0.0163194444444,76.7174622833,6.5,worse
0.0333537581699,74.1996000033,6.2,worse
0.0196233378043,143.059196718,6.0,worse
0.105956020361,61.6668424672,4.75,worse
0.11809086629,109.991816897,3.8,better
0.0472701149425,262.661640015,5.2,better
0.00312547061835,53.9735526474,7.0,worse
0.0868055555556,372.945722275,3.0,better
0.0617854683196,156.248491501,6.6,worse
0.0909901819923,116.505142849,6.0,same
0.0753735365199,157.101853336,6.0,worse
0.157986111111,51.1876612863,5.6,worse
0.0760416666667,73.5639594632,3.33333333333,better
0.0189157390698,177.527651205,5.4,better
0.013407752824,113.748317093,6.0,better
0.0944896708683,68.0416208692,6.75,worse
0.134638247672,65.1912941208,5.0,same
0,0,5.0,same
0.103584526837,151.140500022,5.0,better
0.0591046422012,91.7101076786,6.2,worse
0.0756944444444,74.9087499877,5.66666666667,better
